Name,Images,Title,Year,Dims (Inches),Materials,Notes / Exhibition Text,Dims (Metric)
820,"NZ6_7118-1.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/_Ju5hzuZB1AhufAzeVdkyg/GaDZG6j4vEH-voePPf1eQabqd-7pB8CWtZ3lowejes5_boLshS173csfr-gejVa5TUFnYRghVU8E-_KeaR6bWxdrLGgC3Iv8olxa3tFF2pE/J65Rxu3y9t9773FpjYsr0kWFY7bQbg0DV9dhNutSFMg),NZ6_7120-2.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/oLtzy5A8DOhiNYoMGb26sg/GnJ-SGbEAg0o4xrZG0bkJ9skH6FT9Wbuo3gByqeR9cGVz_tuMUEUyLwxvijmAb9OpOPYpwxWLZ16Ji9xYu1fYDPwyC13e9R9ukOqAVrqpqM/ZPbOFDY9nyyRbRNGgZa9tu7eWT0GK1ziwqmwqLnjg2Q),NZ6_7121-3.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/BpnyrX-JW-1gAlQ2BaRx_w/M006BzbJZ-ES5QrCCvtm823w42OpgRNEQzZmfnvO1rgfa4XxAwrJrp8lPepiHc4nnQc9veOQZuM1nGf6TL1JXJTQ0aHdX3J1OS5tThdbWwY/iTE6OuIIT7piyZasPrdfvoIMCVQKJtj2Yf_a_FKaDJg)",Untitled,2023,27.25 x 45.5 x 3.5,"Fiberglass reinforced gypsum, Fiberglass Cloth, Epoxy Resin, urethane resin, pigments, inkjet dyes, feathers, dye sublimation print on polyester fabric, soft pastels.","Art Basel Miami 21

Damaged in shipping -
Destroyed and reconfigured into new work 8/22",
815,Tonsfeldt_Broadway_2021-12.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/cp7K6g9tTfaZEroQ_0FFvA/fR0ZX113kvW09E28swqEetB7UkScAHF0rxehBYKB5Q1XhkmN-38Z4pjE_QmR1HDft9qW8TRhPIuqhdSIEy9F0Rvw7-Nr3RlxVeGikzWwvjdTQw0GcvfUVHoImZd-kLwN/okfKPGwNnT79p1PEmZ_pLW3NPad0zmXEdW3GeiN6Zao),Rainbow Shapes,2022,"27 x 45 x 3""","Wood, tempera, reinforced gypsum, fiberglass, epoxy resin",,114.3 x 68.6 x 7.6 cm
807,Tonsfeldt_Broadway_2021-39.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/HQMHziD56-iT0GIYXiMCyA/M00zJoiEZ8-DZENf3Jw4wm3sniH9LnzTEwX_fS81NSVQJ0LC3L4ZW9WmEGiPLLZsBXmczzpelV_U9DAEdWcOxjRfsbYLxwRxRshSVZW8r1OI5KIHhV2ejXmQynYKW0ai/U5_AkVUWGOk7IcFxMAkrS2EhYEdMtmmELwZ67sj13D0),OMG Scan,2022,11.25 x 9.25 x .75 inches,UV cured pigment print on fiberglass reinforced gypsum.,,
739,"NZ6_7827.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/FadNLOlHpuZhhLwOOn2FtQ/LOMmda3kqm73jZ1zijkHf-qHuGnnvuKjA7ZjeNw_qr0ovZTOUfA1uI41Vzpng5HF4hUy-9vZUywf1C2QI-OcG0WG-DBETT6JoeBgb842wPU/wi5K8fqZ4sDXIc8vEQj1nkEpZc0dakQGVhqvFDpCnNM),NZ6_7828.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/_3uOb3TTqfbPMTLN8G_wYA/Mo6lJxOtQNEdPdD_Awz_prTgRE_hNyDiO0B7l-8a75NIIxaSRQpMas3AePIOPgm1wbIpJ3Ym7r8sM0LJ0YfIq4dA_pG4Xfns7-FNSyDqyCQ/oW_hEeszwGAbSZjPZNaroaR7yFHOjPcksOnxHEKH890)",Untitled (ABCs),2022,"19 x 12.25 x 2""","Fiberglass reinforced gypsum, Urethane resin, pigments, c-prints, stencil, grape vine.  ",,
738,"NZ6_7823.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/aVH3yTJZOgwQCWGXBd_gfw/IkZHe_VbSvkjZq-r7z34-Sb5qEzoEXu1Wo2R_-LE9yc7tSXTyhToiYoa9rV92-ugtb0Zw63aPXpds5A-JaWk0bl8oy1Jda64eUd7EJz9VBw/G2p29b3YHF_KoTxV0q7VWUWBzb8JG5jVT_vadHWNdi4),NZ6_7825.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/f04rMo48HBKvLAm-LRuL7g/_kiybO8xKFXXTq9wH4v_TuB_pIjFvC9ejs8bVrHrkmPeOeXINE8ut-onlV0LhtlUykpBMmZ2V7HPuWnnbaHlCzMGwqD3lCWpPuE-KeRw2F4/fzoMQnfGkUbbljtiEimuf4fJaEZmKYr6bdmwhHrqslA)",Untitled ,2022,"18.75 x 15 x 2.25"" (work can hang in any dimension)","Fiberglass reinforced gypsum, urethane resin, pigments, ash, toy camera, feathers, rubber.  ",,
737,"NZ6_7821.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/zTumgE695u7WSTMrtFg7Aw/MiRgSEiY0zyjKGdsgJEAYwreGd0Zgd8N85Kb7p1b33jHEOaAX547hiDziQax8tKIyM4_15e_oPq7eQ7xKsc8OZkajYOQQt2qV17W7SuY55Y/g2psl6J01XYTn4PClHAvlCTJ6yaXuS6SPhSbSxR9JpA),NZ6_7820.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/_aeKHycpset8bt_bV1Jd5w/1-4VldvQGYEhpmJQDIvKwY0ZPdWltXCVaj1mPbp1DZgj1GQ8-PgWE_esch_u-CU-3UjRENUzGTPPN7DLe4XKBQj43ymtn4Rd25HTDZUMCIs/ScmqKOQWfE6ZrIruq4tJTeWbGrYRbzQjOKDGGPc0Su0)",Untitled,2022,20 x 13.25 x 1.75,"Fiberglass reinforced gypsum, epoxy resin, pigments, urethane resin, wood, c-prints",,
736,"mask_projection.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/PN7FOqSWNgPf5RKnp24jsg/GB4oOLK13uj73kV3VXVklvO7ovGSWQXwzJ2JKuPqGePEUmdEYi1a_2Cu_LJx6P4mn03fUi-_OW8oW894ESjihU2SUacGUJD1onbLRoq9CTg/-UbRErSmp83r7_cSymV_ceMCdSS1V2rtiyqpDRKApeg),Tonsfeldt_Broadway_2021-3.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/_mPxzc6p-w3hWXJLOCYx3g/kCAHrXc3BieouRrnx068Nwog6byZgfmEh1SCDo1J3AXl2Q3eOFR3Q1o10ngt552uHIQcuhlNVt2rLxz2x64CczyyYdqy6ETU6376eDfLjO7f7oSsAbYVTFsNF_WUzijX/AAcpc5kKAtez45KZc89oE9ekteMxBoH95sWLyrHD780),PXL_20220119_164513351.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/ubLtTf8Y0fMzk_5cE1wp5Q/EUVnPYp-yQCqXIIsueyQTz8qKGfznqEiDFD7sau7BEHAZecKXJrvdxeeglcv5hHEeUXSHL-GopiGQQkDsya_id74iHs0P98yGAZQlhBXUiq6JoqFr29QBuin7fllwKlj/khDkC2F0yaB63_j8A0S3jzNR8Tjq8ZaztGAurhnE_IY),masks_24x36_registration.ai (https://v5.airtableusercontent.com/v1/17/17/1685988000000/TIFbVcAt46xhw1jGZGHyKg/M20PKdX3gHu81jkTs0L79qPTjxUgGThResoBurOeVsHPVCBz9gRZJdY-ISgw4XJPJtSc7D94gU0iFsJDN2l7LXaC-ru70bI10zeaWONTDjqDxlEqiahafxuqe5klIhNG/Wi-2E2qDl056FJQbNBwEYsC-5S1OWuL4dtjLYlVn-kc)",Adult / Child / Customer / Patient,2022,Dimension variable,"Found wooden mask, Steel, Wood Veneer, 30 parts",,
735,Screen Shot 2022-02-21 at 9_54_45 AM.png (https://v5.airtableusercontent.com/v1/17/17/1685988000000/qjOB2pl5-g0RiXleFxQoeQ/HM2CDaaf0eKjZnbNvyFI1RunpHEB9LDKa3IDS6ZQpvjQ45dn0i-5GuTGxkX-evGpNTNkah-a5FtLqL_yRr1U8feCHqO7p_32J54mm-R_xxuyEyd2tNIYsNYSrofKZ3in/vMdahyngga-HOzYiqRVnFMS_QNobRp-Q5-rqiE5FMw4),1/14/22,2022,,"Digital Video, 3840 x 2160","Edition of 5

Edition 1: Mihail Lari",
733,snaps-7785.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/ziWc0vWjDhY1dOxrgY9t-Q/wBjbBHgqdywCtg75flfyr0IVMasolL7F0W0utKL-N2wJoF0CeL0Cfm7iI2DUHNbLquyJWzO3XRt54r3NCuVqdgrxW42vFSvYLXZMEue7Ptc/oSZAB3v0jMuLQKQgDp4uoazX-X5oFFa5e7e3yC4r9cA),Untitled,2022,"22 x 38 x 2.5"" (verify when installing)","Fiberglass reinforced gypsum, Fiberglass cloth, epoxy resin, urethane resin, pigments, inkjet dyes, paint, paper, c-print, wood.   ",,
732,"Tonsfeldt_Broadway_2021-30.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/x6jV7v1pUYZdBncXutFy4w/6JhwIbHqjibl6ENBiy610d5--ezH2-LFN2U8r1IYMiXtGmAzmE8Rv1kV5kHjugY_JqhiS-K-BID2pBBKQ2gbimSwJd3E_nRMFiOn6wQyqIsgmKS5ntOX0XqB5GEZZUiX/izWJC_KMw4Rgz3TSquAr9J11m5Spsd4usEIVA50EWBo),Tonsfeldt_Broadway_2021-29.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/hpEzZtHlhfyfoF6obUKHOw/ZbI6rhg8QPYEahBq6WGPuA4db62WOP84YcVT-yJQrxsO1PO3SZus8nhwIkbJLM3Vg73kSbJASWYBKpCUSiaR0umpHN1THzAGpR1Cnut6CpoJuYXAp0U83-yMcPgHhTWh/Pb7eW93uXFKzAAnXkJmMUiRuQ9dk_RM3za5Vb8YAno4),Tonsfeldt_Broadway_2021-32.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/HAAFkrNF0qMRQ3Sno_uY8Q/lDSUKU9jtzBi9u5D67hr42lb9UKKfBmv_a1zp5TbFH4PkaNAqavWv7Avxx0X_FMSCb7hmcGWOmPsNGikGdFriFiuZmro5lHhcG9a18w-6CaevsmJCCm-vwSZC1yaS72T/tetGPWrZj5PSuiy_E64Xi6FSR970sfUq1EsdGgUZYQw)",Untitled,2022,"32.5 x 57 x 4"" (verify when installing)","Fiberglass reinforced gypsum, Fiberglass cloth, epoxy resin, urethane resin, pigments, inkjet dyes, paint, paper, cotton cloth, dried mushroom.    ",,
